epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,9881.43,1.4863,0.6914,0.80475,0.96018,0.92118,0.995,0.63898,1.52081,0.78871,1.10597,0.000240644,0.000240644,0.000240644
170,9940.77,1.49846,0.64194,0.76518,0.96018,0.92118,0.995,0.63898,1.52081,0.78871,1.10597,0.00023357,0.00023357,0.00023357
171,9999.25,1.56101,0.67474,0.78138,0.95521,0.99878,0.995,0.624,1.53711,0.72093,1.13264,0.000226497,0.000226497,0.000226497
172,10057.7,1.42607,0.63412,0.77626,0.95521,0.99878,0.995,0.624,1.53711,0.72093,1.13264,0.000219423,0.000219423,0.000219423
173,10117.4,1.51431,0.65137,0.84028,0.95521,0.99878,0.995,0.624,1.53711,0.72093,1.13264,0.000212349,0.000212349,0.000212349
174,10176.2,1.38758,0.60987,0.7895,0.93125,1,0.995,0.63341,1.5528,0.71789,1.21439,0.000205276,0.000205276,0.000205276
175,10235.1,1.49581,0.61729,0.7338,0.93125,1,0.995,0.63341,1.5528,0.71789,1.21439,0.000198202,0.000198202,0.000198202
176,10293.6,1.49545,0.63002,0.72876,0.93125,1,0.995,0.63341,1.5528,0.71789,1.21439,0.000191129,0.000191129,0.000191129
177,10351.9,1.45358,0.61481,0.77314,0.93125,1,0.995,0.63341,1.5528,0.71789,1.21439,0.000184055,0.000184055,0.000184055
178,10412.2,1.42782,0.60929,0.80579,0.91321,1,0.995,0.66144,1.54213,0.73164,1.23154,0.000176982,0.000176982,0.000176982
179,10471.1,1.43917,0.6471,0.75926,0.91321,1,0.995,0.66144,1.54213,0.73164,1.23154,0.000169908,0.000169908,0.000169908
180,10529.8,1.46926,0.62849,0.77826,0.91321,1,0.995,0.66144,1.54213,0.73164,1.23154,0.000162835,0.000162835,0.000162835
181,10588.6,1.47034,0.63941,0.75856,0.90847,1,0.995,0.66022,1.51935,0.73872,1.23959,0.000155761,0.000155761,0.000155761
